	I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION	COORDS
35	32		-70	6.0	1.0					7.0		7.0					9.0	CHINA		CHINA:  SHANDONG PROVINCE	  36.300	  119.000	30.0	6000.0	4.0											6000.0	4.0											('  36.300', '  119.000')
36	55		-63	10.0					20.0	6.4		6.4					8.0	RUSSIA		RUSSIA:  PANTIKAPEY	  45.200	   36.600	40.0								3.0												3.0					('  45.200', '   36.600')
37	9734	Tsu	-60							6.7		6.7					9.0	PORTUGAL		PORTUGAL:  CABO SAN VICENTE	  36.000	  -10.000	130.0																				3.0					('  36.000', '  -10.000')
38	9753	Tsu	-58							6.6		6.6						ALBANIA		ALBANIA:  DYRRACHIUM	  41.300	   19.500	130.0																									('  41.300', '   19.500')
39	9786	Tsu	-50															BULGARIA		BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]	  43.500	   28.500	110.0								2.0												2.0					('  43.500', '   28.500')
40	9754	Tsu	-50							5.5		5.5					8.0	GEORGIA		GEORGIA:  DYOSCURIA [SUKHUMI]	  43.000	   41.000	40.0								2.0												2.0					('  43.000', '   41.000')
41	33		-47	4.0	17.0												9.0	CHINA		CHINA:  GANSU PROVINCE:  LONGXI	  34.900	  104.700	30.0		3.0						2.0		3.0				3.0						2.0		3.0			('  34.900', '  104.700')
42	34		-33														9.0	ISRAEL		ISRAEL:  PALESTINE	  31.200	   34.200	140.0	30000.0	4.0											30000.0	4.0											('  31.200', '   34.200')
43	35		-31	9.0	2.0			    		7.0						7.0		ISRAEL		ISRAEL:  QUMRAN,ARIHA (JERICHO)	  32.000	   35.500	140.0								3.0																	('  32.000', '   35.500')
44	8197		-27															EGYPT		EGYPT:  THEBES	  25.700	   32.700	15.0								3.0												3.0					('  25.700', '   32.700')
45	7796	Tsu	-26														9.0	CYPRUS		CYPRUS	  35.000	   33.000	130.0																									('  35.000', '   33.000')
46	36		-26							5.5		5.5					7.0	CHINA		CHINA:  SICHUAN:  YIBIN	  28.800	  104.600	30.0	13.0	1.0						2.0					13.0	1.0						2.0					('  28.800', '  104.600')
47	37		-15					    										CYPRUS		CYPRUS:  SALAMIS	  35.200	   34.000	130.0								4.0																	('  35.200', '   34.000')
48	38		10					    	18.0	7.1						7.1	10.0	TURKMENISTAN		TURKMENISTAN:  NISA	  38.000	   58.300	40.0								3.0																	('  38.000', '   58.300')
49	39		11					    									10.0	TURKEY		TURKEY	  37.800	   27.400	140.0																									('  37.800', '   27.400')
50	40		17														10.0	TURKEY		TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART	  37.850	   27.300	140.0								3.0												3.0					('  37.850', '   27.300')
51	41		23					    									10.0	GREECE		GREECE	  38.200	   22.200	130.0																									('  38.200', '   22.200')
52	42		25					    										PAKISTAN		PAKISTAN	  33.000	   72.000	60.0								3.0																	('  33.000', '   72.000')
53	43		27					    		6.3						6.3	8.0	SOUTH KOREA		SOUTH KOREA:  KWANGJU	  35.900	  126.500	30.0								3.0																	('  35.900', '  126.500')
54	44		29					    									10.0	TURKEY		TURKEY:  IZNIK,IZMIT	  40.500	   28.900	140.0								3.0																	('  40.500', '   28.900')
55	8178		33															ISRAEL		ISRAEL:  PALESTINE	  31.200	   34.200	140.0								2.0												2.0					('  31.200', '   34.200')
56	7896		46	10.0	23.0					6.5		6.5					8.0	CHINA		CHINA:  HENAN PROVINCE:  NANYANG	  33.000	  112.500	30.0		2.0						2.0		2.0				2.0						2.0		2.0			('  33.000', '  112.500')
57	46		50															AFGHANISTAN		AFGHANISTAN:  AIKHANUM	  37.000	   68.500	40.0								2.0												2.0					('  37.000', '   68.500')
58	48		52					    									9.0	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140.0								3.0																	('  36.100', '   36.100')
59	49		52					    										GREECE		GREECE:  PHILIPPI,DRAMA,KAVALA	  41.000	   24.300	130.0								3.0																	('  41.000', '   24.300')
60	50		55					    									10.0	GREECE		GREECE:  CRETE	  35.000	   25.000	130.0																									('  35.000', '   25.000')
61	51		57					    									10.0	ALBANIA		ALBANIA:  DURRES	  41.200	   19.300	130.0																									('  41.200', '   19.300')
62	52		60														9.0	TURKEY		TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]	  37.900	   29.200	140.0								3.0												3.0					('  37.900', '   29.200')
63	5880	Tsu	62							6.9		6.9					9.0	GREECE		GREECE:  CRETE	  35.200	   25.100	130.0																									('  35.200', '   25.100')
64	53		63														10.0	ITALY		ITALY:  POMPEI	  40.700	   14.500	130.0																									('  40.700', '   14.500')
65	57	Tsu	76														10.0	CYPRUS		CYPRUS:  PAPHOS, SALAMIS	  34.800	   32.000	130.0								3.0		3.0										3.0		3.0			('  34.800', '   32.000')
66	58		79	8.0	24.0												10.0	ITALY		ITALY:  NAPLES (NAPOLI)	  40.821	   14.426	130.0													3500.0	4.0											('  40.821', '   14.426')
67	60		89					    		6.3						6.3	8.0	SOUTH KOREA		SOUTH KOREA:  KWANGJU	  35.900	  126.500	30.0		3.0						2.0																	('  35.900', '  126.500')
68	61		93					    										TURKEY		TURKEY:  HELLESPONT	  40.600	   26.700	140.0		3.0						3.0																	('  40.600', '   26.700')
69	62		100							6.3		6.3					8.0	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.800	  129.200	30.0		3.0						2.0		3.0				3.0						2.0		3.0			('  35.800', '  129.200')
70	63		105														10.0	TURKEY		TURKEY	  39.500	   27.000	140.0																									('  39.500', '   27.000')
71	9970		109															TURKEY		TURKEY:  GALATIA	  40.000	   34.000	140.0								3.0		3.0										3.0		3.0			('  40.000', '   34.000')
72	64	Tsu	115	12.0	13.0					7.5		7.5					11.0	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140.0	260000.0	4.0						4.0					260000.0	4.0						4.0					('  36.100', '   36.100')
73	9969	Tsu	120							7.2		7.2					9.0	TURKEY		TURKEY: NICOMEDIA, NICAEA	  40.770	   29.920	140.0		3.0						2.0		3.0				3.0						2.0		3.0			('  40.770', '   29.920')
74	65	Tsu	123							6.3		6.3					8.0	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.800	  129.200	30.0								1.0		2.0										1.0		2.0			('  35.800', '  129.200')
75	7897		128	2.0	23.0					6.5		6.5					8.0	CHINA		CHINA:  GANSU PROVINCE:  GANGU	  34.700	  105.400	30.0		2.0						2.0		2.0				2.0						2.0		2.0			('  34.700', '  105.400')
76	66		138	3.0	1.0					6.8		6.8					9.0	CHINA		CHINA:  GANSU PROVINCE	  35.800	  103.500	30.0		3.0						3.0		3.0				3.0						3.0		3.0			('  35.800', '  103.500')
77	5883	Tsu	142							7.0	7.0						8.0	GREECE		GREECE:  RHODES	  36.700	   28.000	130.0								2.0		2.0										3.0		3.0			('  36.700', '   28.000')
78	7898		143	10.0						7.0		7.0					9.0	CHINA		CHINA:  GANSU PROVINCE	  34.700	  105.300	30.0		1.0						1.0						1.0						1.0					('  34.700', '  105.300')
79	67		155					    	100.0								10.0	GREECE		GREECE:  DODECANESE ISLANDS	  36.500	   28.500	130.0																									('  36.500', '   28.500')
80	68		170					    										GREECE		GREECE-TURKEY:  VITINIA,HELLESPONT	  39.000	   24.500	130.0								3.0																	('  39.000', '   24.500')
81	5884	Tsu	173	6.0	28.0													CHINA		CHINA:  YELLOW SEA	  37.500	  120.000	30.0																									('  37.500', '  120.000')
82	9757	Tsu	177														9.0	ITALY		ITALY:  SICILY	  38.000	   15.000	130.0								3.0												3.0					('  38.000', '   15.000')
83	69		177														7.0	TURKEY		TURKEY: IZMIR, AEGEAN ISLANDS	  38.600	   26.650	140.0		3.0						2.0						3.0						2.0					('  38.600', '   26.650')
84	70		180	9.0						7.5		7.5					10.0	CHINA		CHINA:  GANSU PROVINCE	  39.400	   99.500	30.0																									('  39.400', '   99.500')
85	71		243					    		5.3						5.3		ITALY		ITALY:  VERONA,BENACO	  45.300	   11.000	130.0								4.0																	('  45.300', '   11.000')
86	72		251	7.0	9.0			    									10.0	GREECE		GREECE:  CRETE	  35.500	   25.500	130.0																									('  35.500', '   25.500')
87	73		253	7.0	9.0			    									10.0	TURKEY		TURKEY	  39.100	   27.200	140.0																									('  39.100', '   27.200')
88	9984	Tsu	258														8.0	ITALY		ITALY:  ROME	  41.900	   12.450	130.0								3.0	1001.0	4.0										3.0	1001.0	4.0			('  41.900', '   12.450')
89	8199	Tsu	262															TURKEY		TURKEY:  S COASTS; LIBYA	  36.600	   30.000	140.0		3.0						2.0		3.0				3.0						2.0		3.0			('  36.600', '   30.000')
90	7899		294	7.0						5.5		5.5					7.0	CHINA		CHINA:  ANHUI PROVINCE:  SHOUXIAN	  32.600	  116.800	30.0		1.0												1.0											('  32.600', '  116.800')
91	74		294	9.0						5.5		5.5					7.0	CHINA		CHINA:  BEIJING	  40.300	  116.000	30.0	101.0	3.0											101.0	3.0											('  40.300', '  116.000')
92	75		304					    		6.3						6.3	8.0	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.500	  129.100	30.0		3.0						2.0																	('  35.500', '  129.100')
93	76		306					    									9.0	LEBANON		LEBANON:  SUR (TYRE), SAYDA (SAIDA)	  33.200	   35.100	140.0								3.0																	('  33.200', '   35.100')
